# PS3 Classic base game index v1
# G\tTITLE_ID\tNAME\tCONTENT_ID
# A\tTITLE_ID
# D\tTITLE_ID
G	NPUB30231	Kick-Ass	UP2031-NPUB30231_00-KICKASSMOVIEGAME
G	NPUB30232	Shank	UP0006-NPUB30232_00-SHANKHDDFULL0001
G	NPUB30243	Tecmo Bowl Throwback	UP4108-NPUB30243_00-TECMOBOWLGAME000
G	NPUB30249	Sonic Adventure	UP0177-NPUB30249_00-DCCSONICADVDLG00
G	NPUB30250	Faery Legends of Avalon	UP4133-NPUB30250_00-GAMEPURCHASE0001
G	NPUB30251	Dungeon Defenders	UP2050-NPUB30251_00-DUNDEFENDEERLC01
G	NPUB30252	Gotham City Imposters	UP1018-NPUB30252_00-IMPOSTORS0000000
G	NPUB30253	Blade Kitten	UP0182-NPUB30253_00-BLADEKITTEN1DEMO
G	NPUB30255	My Aquarium	UP0555-NPUB30255_00-HDDBOOTHBL300000
G	NPUB30267	Costume Quest	UP1005-NPUB30267_00-COSTUMEQUESTGAME
G	NPUB30268	Modern Combat Domination	UP2006-NPUB30268_00-MODERNCSANDTRIAL
G	NPUB30269	Dead Space Ignition	UP0006-NPUB30269_00-IGNITION00000001
G	NPUB30272	Explodemon!	UP4185-NPUB30272_00-EXPLODEMONDEMO01
G	NPUB30280	Retro Grade	UP2036-NPUB30280_00-RETROGRADEGAME01
G	NPUB30283	Tales of Monkey Island - Chapter 1	UP2026-NPUB30283_00-MNK101000000GAME
G	NPUB30290	Stacking	UP1005-NPUB30290_00-STACKINGGAME0000
G	NPUB30292	DeathSpank - Thongs of Virtue	UP0006-NPUB30292_00-DEATHSPANK000001
G	NPUB30296	Red Faction Battlegrounds	UP1005-NPUB30296_00-RFBATTLEGNDS0001
G	NPUB30297	The Undergarden	UP0182-NPUB30297_00-GAMEPACKAGE00000
G	NPUB30301	Street Fighter III: Third Strike Online Edition	UP0102-NPUB30301_00-SF32011040100001
G	NPUB30304	PAC-MAN Championship Edition DX+ Demo	UP0700-NPUB30304_00-PCEDX00001DEMONA
G	NPUB30305	Space Invaders Infinity Gene	UP0082-NPUB30305_00-INFINITYMAINGAME
G	NPUB30309	Deadliest Warrior - The Game	UP2041-NPUB30309_00-DEADLIESTWARDEMO
G	NPUB30310	Spare Parts	UP0006-NPUB30310_00-SPAREPARTS000000
G	NPUB30311	Tales From Space - About a Blob	UP2045-NPUB30311_00-ABOUTABLOB000001
G	NPUB30312	Resident Evil 4 HD	UP0102-NPUB30312_00-CONTENT0000DLPKG
G	NPUB30315	Joe Danger	UP2034-NPUB30315_00-JOEDANGERHG00001
G	NPUB30321	Galaga Legions DX	UP0700-NPUB30321_00-GLLDX00001DEMONA
G	NPUB30330	Magic The Gathering - Duels of the Planewalkers	UP2037-NPUB30330_00-XYLOPHONE000000A
G	NPUB30331	Trine 2	UP0005-NPUB30331_00-TRINE2INSTALLER0
G	NPUB30332	Rock of Ages	UP0005-NPUB30332_00-ROCKOFAGESPS3HDD
G	NPUB30333	MicroBot	UP0006-NPUB30333_00-NANOBOTSTRIAL000
G	NPUB30335	Alien Breed 2: Assault	UP4064-NPUB30335_00-ALIENBREED000011
G	NPUB30339	Funky Lab Rat	UP4181-NPUB30339_00-FUNKYLABRATAMERI
G	NPUB30343	Fancy Pants Adventures	UP0006-NPUB30343_00-HDDFANCYPANTS068
G	NPUB30345	Moon Diver	UP0082-NPUB30345_00-MDGAME0000000000
G	NPUB30346	Swarm	UP4002-NPUB30346_00-000SWARMFULLGAME
G	NPUB30365	Ghost Busters Sanctum Of Slime	UP0182-NPUB30365_00-GHOSTBUSTERSDEMO
G	NPUB30367	Blokus	UP2006-NPUB30367_00-BLOKUS00000TRIAL
G	NPUB30368	Jeremy McGraths Offroad	UP2049-NPUB30368_00-USSTRC01JMOR2XL1
G	NPUB30372	Chime Super Deluxe	UP2007-NPUB30372_00-0000000000010258
G	NPUB30373	Limbo	UP2054-NPUB30373_00-LIMBOGAMEPACK001
G	NPUB30375	Sega Rally Online Arcade	UP0177-NPUB30375_00-SEGARALLYARCADE1
G	NPUB30377	Bloodrayne - Betrayal	UP1012-NPUB30377_00-BLDRYNBTRYLGMPKG
G	NPUB30381	Section 8 Prejudice	UP2024-NPUB30381_00-PREJUDICETRIALGM
G	NPUB30383	I AM ALIVE	UP0001-NPUB30383_00-IAMALIVEHDDTRIAL
G	NPUB30384	Burgertime World Tour	UP2039-NPUB30384_00-BURGERTIMEWTDEMO
G	NPUB30385	Worms Crazy Golf	UP4064-NPUB30385_00-WORMSGOLF0000001
G	NPUB30391	Risk Factions	UP0006-NPUB30391_00-RISKFACTIONS0001
G	NPUB30394	Beyond Good and Evil HD	UP0001-NPUB30394_00-BEYONDGANDETRIAL
G	NPUB30401	Back to the Future Episode 1	UP2026-NPUB30401_00-BTTF10100000GAME
G	NPUB30403	Stardrone	UP4101-NPUB30403_00-STAREXPLOREDRONE
G	NPUB30406	Renegade Ops	UP0177-NPUB30406_00-RENEGADEOPSTRIAL
G	NPUB30408	Magic The Gathering - Duels of the Planewalkers	UP2037-NPUB30408_00-D120000000000001
G	NPUB30413	Borderlands	UP1001-NPUB30413_00-BORDERLANDSHDDFG
G	NPUB30417	Tetris	UP0006-NPUB30417_00-TETRISDEMO000000
G	NPUB30418	From DUST	UP0001-NPUB30418_00-FROMDUSTTRIAL001
G	NPUB30419	Mercury HG	UP4002-NPUB30419_00-MERCURYHG0000001
G	NPUB30420	Star Raiders	UP0182-NPUB30420_00-STARRAIDERS00001
G	NPUB30422	Hoard	UP2046-NPUB30422_00-HOARDDEMOLOCKED2
G	NPUB30425	Arcana Heart 3	UP1024-NPUB30425_00-ARCANAHEART03HDD
G	NPUB30428	ELEVATOR ACTION DELUXE	UP0082-NPUB30428_00-ELEVATORACTIONDX
G	NPUB30433	Crazy Machines Elements	UP4165-NPUB30433_00-CMELEMENTSGAME00
G	NPUB30434	Rainbow Moon	UP2005-NPUB30434_00-RAINBOWMOON00001
G	NPUB30435	LIGHTS, CAMERA, PARTY!	UP4096-NPUB30435_00-LIGHTSCAMPARTY01
G	NPUB30439	Puddle	UP0101-NPUB30439_00-SCEAPUDDLEPKGHDD
G	NPUB30447	Mass Effect™ 2	UP0006-NPUB30447_00-MASSEFFECT200000
G	NPUB30452	Wizardry Labyrinth of Lost Souls	UP1023-NPUB30452_00-WIZDL0000000001R
G	NPUB30453	Eufloria	UP2052-NPUB30453_00-EUFLORIA00000000
G	NPUB30454	Gatling Gears	UP0006-NPUB30454_00-GATLINGGEARSDEMO
G	NPUB30458	Hamiltons Great Adventure	UP4122-NPUB30458_00-HAMILTON00000000
G	NPUB30462	DC Universe Online	UP0017-NPUB30462_00-DCUOLPS3LIVE0001
G	NPUB30463	Apples To Apples (Trial to Full)	UP1005-NPUB30463_00-APPLETOAPPLE2TRL
G	NPUB30464	Burnout CRASH	UP0006-NPUB30464_00-CRASHTRIAL0000NA
G	NPUB30467	Resident Evil Code - Veronica X	UP0102-NPUB30467_00-CONTENT0000DLPKG
G	NPUB30468	Mortal Kombat Arcade Kollection	UP1018-NPUB30468_00-MKAKGAMEUS000001
G	NPUB30473	Warhammer 40000 - Kill Team	UP1005-NPUB30473_00-KILLTEAMVS000001
G	NPUB30476	Dragon Age 2	UP0006-NPUB30476_00-DA2HDDDOWNLOAD00
G	NPUB30480	Twisted Lands Shadow Town	UP4173-NPUB30480_00-SHADOWTOWNFREE00
G	NPUB30481	Mix Superstar	UP2043-NPUB30481_00-MIXSUPERSTAR0001
G	NPUB30483	Sine Mora	UP4175-NPUB30483_00-SINEMORATRIAL001
G	NPUB30490	Deadliest Warrior Legends	UP2041-NPUB30490_00-DEADLIESTWARDEMO
G	NPUB30491	Ugly Americans Apocalypsegeddon	UP2041-NPUB30491_00-UGLYAMERICANSTRL
G	NPUB30493	DAYTONA USA	UP0177-NPUB30493_00-DAYTONAUSA000000
G	NPUB30498	Sam And Max Beyond Time And Space	UP2026-NPUB30498_00-SAMMAX201000GAME
G	NPUB30505	Castlevania Harmony of Despair	UP0101-NPUB30505_00-CASTHARMONYOFDES
G	NPUB30506	Zombie Apocalypse - Never Die Alone	UP0101-NPUB30506_00-ZOMBIAPCLYPS2TRL
G	NPUB30513	DeathSpank - The Baconing	UP4049-NPUB30513_00-DEATHSPANK000001
G	NPUB30514	Okabu	UP4334-NPUB30514_00-HCOKABUGAME00000
G	NPUB30524	Voltron - Defender of the Universe	UP1005-NPUB30524_00-VOLTRONDEMO00000
G	NPUB30534	Scene It - Movie Night	UP2017-NPUB30534_00-HDDBOOTSCENEIT00
G	NPUB30536	Babel Rising	UP0001-NPUB30536_00-BABEL3DDEMO00001
G	NPUB30537	Castlestorm	UP4042-NPUB30537_00-CASTLESTORMGAME1
